eco_num,name,moves,FEN
A08,Reti: King's Indian attack,1. g1-f3 d7-d5 2. g2-g3 c7-c5 3. f1-g2,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3
A08,"Reti: King's Indian attack, French variation",1. g1-f3 d7-d5 2. g2-g3 c7-c5 3. f1-g2 b8-c6 4. 0--0 e7-e6 5. d2-d3 g8-f6 6. b1-d2 f8-e7 7. e2-e4 0--0 8. f1-e1,r1bq1rk1/pp2bppp/2n1pn2/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b - - 2 8
A09,Reti: advance variation,1. g1-f3 d7-d5 2. c2-c4 d5-d4,rnbqkbnr/ppp1pppp/8/8/2Pp4/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3
A09,Reti accepted,1. g1-f3 d7-d5 2. c2-c4 d5-c4,rnbqkbnr/ppp1pppp/8/8/2p5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3
A09,Reti accepted: Keres variation,1. g1-f3 d7-d5 2. c2-c4 d5-c4 3. e2-e3 c8-e6,rn1qkbnr/ppp1pppp/4b3/8/2p5/4PN2/PP1P1PPP/RNBQKB1R w KQkq - 1 4
A10,Английское начало,1. c2-c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1
A10,English: Adorjan defence,1. c2-c4 g7-g6 2. e2-e4 e7-e5,rnbqkbnr/pppp1p1p/6p1/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 3
A10,English: Jaenisch gambit,1. c2-c4 b7-b5,rnbqkbnr/p1pppppp/8/1p6/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2
A10,English: Anglo-Dutch defense,1. c2-c4 f7-f5,rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2
A11,English: Caro-Kann defensive system,1. c2-c4 c7-c6,rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2
A12,English: Torre defensive system,1. c2-c4 c7-c6 2. g1-f3 d7-d5 3. b2-b3 g8-f6 4. g2-g3 c8-g4,rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P3NP1/P2PPP1P/RNBQKB1R w KQkq - 1 5
A12,English: London defensive system,1. c2-c4 c7-c6 2. g1-f3 d7-d5 3. b2-b3 g8-f6 4. g2-g3 c8-f5,rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/1P3NP1/P2PPP1P/RNBQKB1R w KQkq - 1 5
A12,English: Bled variation,1. c2-c4 c7-c6 2. g1-f3 d7-d5 3. b2-b3 g8-f6 4. c1-b2 g7-g6,rnbqkb1r/pp2pp1p/2p2np1/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 0 5
A12,English: New York (London) defensive system,1. c2-c4 c7-c6 2. g1-f3 d7-d5 3. b2-b3 g8-f6 4. c1-b2 c8-f5,rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 3 5
A12,English: Capablanca's variation,1. c2-c4 c7-c6 2. g1-f3 d7-d5 3. b2-b3 g8-f6 4. c1-b2 c8-g4,rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 3 5
A12,"English: Caro-Kann defensive system, Bogolyubov variation",1. c2-c4 c7-c6 2. g1-f3 d7-d5 3. b2-b3 c8-g4,rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/1P3N2/P2PPPPP/RNBQKB1R w KQkq - 1 4
A13,English: Romanishin gambit,1. c2-c4 e7-e6 2. g1-f3 g8-f6 3. g2-g3 a7-a6 4. f1-g2 b7-b5,rnbqkb1r/2pp1ppp/p3pn2/1p6/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 0 5
A13,English opening: Agincourt variation,1. c2-c4 e7-e6 2. g1-f3 d7-d5,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3
A13,English: Wimpey system,1. c2-c4 e7-e6 2. g1-f3 d7-d5 3. b2-b3 g8-f6 4. c1-b2 c7-c5 5. e2-e3,rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq - 0 5
A13,English: Kurajica defence,1. c2-c4 e7-e6 2. g1-f3 d7-d5 3. g2-g3 c7-c6,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 0 4
A13,English: Neo-Catalan,1. c2-c4 e7-e6 2. g1-f3 d7-d5 3. g2-g3 g8-f6,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 1 4
A13,English: Neo-Catalan accepted,1. c2-c4 e7-e6 2. g1-f3 d7-d5 3. g2-g3 g8-f6 4. f1-g2 d5-c4,rnbqkb1r/ppp2ppp/4pn2/8/2p5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 0 5
A14,English: Neo-Catalan declined,1. c2-c4 e7-e6 2. g1-f3 d7-d5 3. g2-g3 g8-f6 4. f1-g2 f8-e7 5. 0--0,rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 4 5
A14,"English: Symmetrical, Keres defence",1. c2-c4 e7-e6 2. g1-f3 d7-d5 3. g2-g3 g8-f6 4. f1-g2 f8-e7 5. 0--0 c7-c5 6. c4-d5 f6-d5 7. b1-c3 b8-c6,r1bqk2r/pp2bppp/2n1p3/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 8
A15,"English, 1...Nf6 (Anglo-Indian defense)",1. c2-c4 g8-f6,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2
A15,English orang-utan,1. c2-c4 g8-f6 2. b2-b4,rnbqkb1r/pppppppp/5n2/8/1PP5/8/P2PPPPP/RNBQKBNR b KQkq - 0 2
A16,English: Anglo-Gruenfeld defense,1. c2-c4 g8-f6 2. b1-c3 d7-d5,rnbqkb1r/ppp1pppp/5n2/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3
A16,"English: Anglo-Gruenfeld, Smyslov defense",1. c2-c4 g8-f6 2. b1-c3 d7-d5 3. c4-d5 f6-d5 4. g2-g3 g7-g6 5. f1-g2 d5-c3,rnbqkb1r/ppp1pp1p/6p1/8/8/2n3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 6
A16,"English: Anglo-Gruenfeld, Czech defense",1. c2-c4 g8-f6 2. b1-c3 d7-d5 3. c4-d5 f6-d5 4. g2-g3 g7-g6 5. f1-g2 d5-b6,rnbqkb1r/ppp1pp1p/1n4p1/8/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 6
A16,"English: Anglo-Gruenfeld defense, Korchnoi variation",1. c2-c4 g8-f6 2. b1-c3 d7-d5 3. c4-d5 f6-d5 4. g1-f3 g7-g6 5. g2-g3 f8-g7 6. f1-g2 e7-e5,rnbqk2r/ppp2pbp/6p1/3np3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 7
